id,managementId,name,prefecture,address,phone,permitType,permitDate,permitExpiry,receiveCountries,jobCodes,kaigoSupport,migrationStatus,statusConfirmedAt,statusNote,isVerified,verifiedAt,createdAt,updatedAt,nameKana,city,offices,verifiedNote,hasPenalty,penaltyDetail,penaltySource,sourceDate
11,I-0011,渡島噴火湾水産協同組合,北海道,北海道山越郡長万部町字静狩52-10,137663033,general,2020-09-03,2032-09-02,インドネシア,"[""2-2"", ""3-7"", ""3-8"", ""3-12"", ""3-15"", ""3-21"", ""6-4"", ""6-5"", ""6-6"", ""6-7"", ""7-6"", ""7-7""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,山越郡長万部町,,,0,,,
12,I-0012,オホーツク国際事業協同組合,北海道,北海道紋別市真砂町1-2-42,158236686,general,2018-06-29,2030-06-28,中国、インドネシア、タイ,"[""4-3"", ""4-4"", ""4-5"", ""7-5"", ""7-12""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,紋別市,,,0,,,
13,I-0013,オホーツク国際人材交流協同組合,北海道,北海道紋別郡雄武町字雄武708-2,158843784,general,2017-12-01,2029-11-30,中国、インドネシア、ベトナム,"[""4-3"", ""4-4"", ""4-5""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,紋別郡雄武町,,,0,,,
14,I-0014,オホーツクはまなす農業協同組合,北海道,北海道紋別市落石町4-8-9,158235211,general,2018-01-22,2030-01-21,インドネシア、ベトナム,"[""1-1"", ""1-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,紋別市,,,0,,,
15,I-0015,海外交流事業協同組合,北海道,北海道札幌市東区北25条東18-3-24,117921911,general,2017-11-01,2029-10-31,中国、インドネシア、ミャンマー、ベトナム,"[""4-2"", ""4-3"", ""4-4"", ""4-5"", ""4-9"", ""7-3"", ""7-13""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市東区,,,0,,,
16,I-0016,介護.net事業協同組合,北海道,北海道札幌市北区北四十条西4-1-1,115581568,general,2023-08-03,2028-08-02,ミャンマー、ベトナム,"[""4-11"", ""7-13""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市北区,,,0,,,
17,I-0017,上湧別町水産加工協同組合,北海道,北海道紋別郡湧別町上湧別屯田市街地69-1,158641411,general,2018-08-31,2030-08-30,インドネシア、ベトナム,"[""4-3"", ""4-4""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,紋別郡湧別町,,,0,,,
18,I-0018,北るもい漁業協同組合,北海道,北海道苫前郡羽幌町港町1-36,164621291,general,2020-05-13,2032-05-12,インドネシア、ベトナム,"[""2-1"", ""2-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,苫前郡羽幌町,,,0,,,
19,I-0019,共通産業協同組合,北海道,北海道札幌市白石区本通18-1-1 第五栄輪ビル3F-B,115981368,general,2020-03-13,2032-03-12,バングラデシュ、中国、インドネシア、カンボジア、ミャンマー、フィリピン、TMP、ベトナム,"[""1-1"", ""1-2"", ""3-2"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-9"", ""3-12"", ""3-13"", ""3-21"", ""4-3"", ""4-4"", ""4-6"", ""4-9"", ""7-11"", ""7-13""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市白石区,,,0,,,
20,I-0020,協同組合アジアンネットワーク,北海道,北海道札幌市北区北9条西4-7-4 エルムビル7F,117883600,general,2018-01-09,2030-01-08,中国、ネパール、フィリピン、タイ、ベトナム,"[""1-1"", ""1-2"", ""2-2"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-13"", ""4-2"", ""4-3"", ""4-4"", ""4-6"", ""4-7"", ""4-9"", ""6-5"", ""7-1"", ""7-11"", ""7-12"", ""7-13""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市北区,,,0,,,
21,I-0021,ぎょれん協同会社事業協同組合,北海道,北海道札幌市中央区北3条西7-1,112818524,general,2017-12-01,2029-11-30,中国、インドネシア、ベトナム,"[""2-2"", ""4-3"", ""4-4""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
22,I-0022,釧路丹頂農業協同組合,北海道,北海道阿寒郡鶴居村鶴居東4-45,154642311,general,2019-07-25,2031-07-24,フィリピン,"[""1-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,阿寒郡鶴居村,,,0,,,
23,I-0023,国際研修事業協同組合,北海道,北海道札幌市中央区南1東4-7,112416181,general,2020-09-03,2032-09-02,インドネシア、カンボジア、スリランカ、ミャンマー、フィリピン、タイ、ベトナム,"[""1-1"", ""1-2"", ""2-2"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-13"", ""3-15"", ""3-21"", ""4-8"", ""4-9"", ""5-6"", ""5-7"", ""6-6"", ""7-6"", ""7-7"", ""7-11"", ""7-12"", ""7-13"", ""7-14"", ""7-16""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
24,I-0024,国際人材開発事業協同組合,北海道,北海道滝川市明神町3-8-22,125749704,general,2022-03-25,2027-03-24,中国、インドネシア、フィリピン、ベトナム,"[""1-1"", ""1-2"", ""3-3"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-10"", ""3-13"", ""3-14"", ""3-15"", ""3-21"", ""4-3"", ""4-4"", ""4-5"", ""4-6"", ""4-7"", ""4-8"", ""4-9"", ""4-10"", ""6-1"", ""6-2"", ""6-4"", ""6-5"", ""6-6"", ""6-13"", ""6-14"", ""6-15"", ""7-1"", ""7-4"", ""7-6"", ""7-7"", ""7-8"", ""7-11"", ""7-12"", ""7-13"", ""7-16""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,滝川市,,,0,,,
25,I-0025,さくらネットワーク・システム協同組合,北海道,北海道札幌市中央区南8条西17-3-26,112151201,general,2019-12-03,2031-12-02,インドネシア、インド、スリランカ、ミャンマー、ベトナム,"[""3-1"", ""3-2"", ""3-3"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-9"", ""3-10"", ""3-11"", ""3-12"", ""3-13"", ""3-14"", ""3-15"", ""3-16"", ""3-17"", ""3-18"", ""3-19"", ""3-20"", ""3-21"", ""4-1"", ""4-2"", ""4-3"", ""4-4"", ""4-5"", ""4-6"", ""4-7"", ""4-8"", ""4-9"", ""6-4"", ""6-5"", ""6-6"", ""6-7"", ""6-8"", ""6-10"", ""7-1"", ""7-6"", ""7-7"", ""7-11"", ""7-13"", ""7-15""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
26,I-0026,札幌南国際事業協同組合,北海道,北海道千歳市稲穂1-8-8 千歳市森林組合ビル,123422553,general,2018-09-28,2030-09-27,中国、インドネシア、ミャンマー、モンゴル、ベトナム,"[""1-1"", ""1-2"", ""3-2"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-13"", ""3-21"", ""4-2"", ""4-3"", ""4-4"", ""4-6"", ""4-7"", ""5-6"", ""6-6"", ""6-12"", ""7-1"", ""7-6"", ""7-7"", ""7-8"", ""7-11""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,千歳市,,,0,,,
27,I-0027,サロマ水産加工協同組合,北海道,北海道北見市常呂町字土佐43-4,152676021,general,2017-12-20,2029-12-19,中国、ベトナム,"[""4-3"", ""4-4"", ""4-5""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,北見市,,,0,,,
28,I-0028,J・クラウド事業協同組合,北海道,北海道河東郡音更町南鈴蘭北3-12-15,155435160,general,2023-07-25,2028-07-24,インドネシア、ベトナム,"[""1-2"", ""3-8""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,河東郡音更町,,,0,,,
29,I-0029,鹿追町農業協同組合,北海道,北海道河東郡鹿追町新町4-51,156662131,general,2021-03-26,2033-03-25,中国、インドネシア,"[""1-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,河東郡鹿追町,,,0,,,
30,I-0030,職業訓練法人キャリアバンク職業訓練協会,北海道,北海道札幌市中央区北5条西5-7 Sapporo55,112076540,general,2020-02-27,2032-02-26,中国、インドネシア、カンボジア、ミャンマー、ネパール、タイ、ベトナム,"[""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-13"", ""3-16"", ""3-17"", ""3-21"", ""3-22"", ""4-3"", ""4-4"", ""4-6"", ""4-9"", ""4-11"", ""6-6"", ""6-7"", ""6-10"", ""7-6"", ""7-7"", ""7-12"", ""7-13""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
31,I-0031,宗谷国際人材交流協同組合,北海道,北海道枝幸郡枝幸町幸町1,163624420,general,2018-03-27,2030-03-26,中国、インドネシア、ミャンマー、ベトナム,"[""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-13"", ""3-15"", ""3-21"", ""4-3"", ""4-4"", ""6-6"", ""7-6"", ""7-12""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,枝幸郡枝幸町,,,0,,,
32,I-0032,大誠協同組合,北海道,北海道河東郡音更町宝来北一条6-2-4,155669898,general,2024-02-13,2029-02-12,インドネシア、インド、ミャンマー、フィリピン、タイ、ベトナム,"[""1-3"", ""3-2"", ""3-6"", ""3-7"", ""3-8"", ""3-9"", ""3-13"", ""3-14"", ""3-21"", ""7-6"", ""7-7""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,河東郡音更町,,,0,,,
33,I-0033,忠類農業協同組合,北海道,北海道中川郡幕別町忠類栄町259,155882311,general,2021-06-16,2033-06-15,中国、インドネシア,"[""1-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,中川郡幕別町,,,0,,,
34,I-0034,ティアイティ事業協同組合,北海道,北海道札幌市西区八軒八条西10-6-25 第3三浦マンション,116335061,general,2024-08-30,2029-08-29,ミャンマー、ベトナム,"[""1-1"", ""2-2"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-10"", ""3-12"", ""3-13"", ""3-15"", ""3-17"", ""3-21"", ""4-3"", ""4-4"", ""4-9"", ""5-8"", ""7-6""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市西区,,,0,,,
35,I-0035,道東酪農協同組合,北海道,北海道札幌市中央区南五条西1-1-23 北一ビル3F,9015207797,general,2021-06-16,2033-06-15,フィリピン,"[""1-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
36,I-0036,道南地域国際交流事業協同組合,北海道,北海道北斗市東浜2-4-18,138837818,general,2017-12-01,2029-11-30,中国、インドネシア、カンボジア、ミャンマー、ベトナム,"[""1-1"", ""1-2"", ""2-2"", ""3-2"", ""3-5"", ""3-7"", ""3-8"", ""3-17"", ""3-21"", ""4-3"", ""4-4"", ""7-6"", ""7-13"", ""7-16""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,北斗市,,,0,,,
37,I-0037,根室商工会議所,北海道,北海道根室市松ヶ枝町2-7,153242062,general,2017-11-01,2029-10-31,インドネシア、ベトナム,"[""4-3"", ""4-4""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,根室市,,,0,,,
38,I-0038,東日本国際交流事業協同組合,北海道,北海道札幌市中央区南5条西1-1-23 北一ビル2F,115327797,general,2017-11-01,2029-10-31,中国、インドネシア、スリランカ、モンゴル、フィリピン、ベトナム,"[""1-1"", ""1-2"", ""3-1"", ""3-2"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-9"", ""3-10"", ""3-11"", ""3-12"", ""3-13"", ""3-14"", ""3-15"", ""3-16"", ""3-17"", ""3-18"", ""3-20"", ""3-21"", ""4-2"", ""4-3"", ""4-4"", ""4-7"", ""4-9"", ""7-1"", ""7-2"", ""7-3"", ""7-6"", ""7-7"", ""7-11"", ""7-12"", ""7-13"", ""7-15"", ""7-16""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
39,I-0039,東日本支援事業協同組合,北海道,北海道千歳市朝日町8-1206-112,123297985,general,2023-01-16,2028-01-15,バングラデシュ、中国、インドネシア、カンボジア、ミャンマー、ネパール、ベトナム,"[""1-1"", ""1-2"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-12"", ""3-17"", ""3-21"", ""4-3"", ""4-4"", ""6-1"", ""6-6"", ""6-13"", ""6-14"", ""6-15"", ""7-6"", ""7-7"", ""7-8"", ""7-15"", ""7-16""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,千歳市,,,0,,,
40,I-0040,東北海道経済交流中小企業協同組合,北海道,北海道釧路市大川町1-13,154365554,general,2021-05-18,2033-05-17,インドネシア、ベトナム,"[""1-2"", ""3-6"", ""3-7"", ""3-8"", ""3-21"", ""4-4"", ""7-6"", ""7-11""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,釧路市,,,0,,,
41,I-0041,ひぐま協同組合,北海道,北海道札幌市西区西町南21-2-15 302,116769630,general,2025-06-24,2030-06-23,インドネシア、ミャンマー,"[""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-13"", ""3-18"", ""3-21"", ""4-8"", ""4-9"", ""5-11"", ""6-7"", ""7-7"", ""7-11"", ""7-15""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市西区,,,0,,,
42,I-0042,日高中央漁業協同組合,北海道,北海道浦河郡浦河町浜町45,146222251,general,2020-11-27,2032-11-26,インドネシア、ベトナム,"[""2-1""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,浦河郡浦河町,,,0,,,
43,I-0043,びらとり農業協同組合,北海道,北海道沙流郡平取町本町40-1,145722211,general,2020-09-03,2032-09-02,中国,"[""1-1"", ""1-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,沙流郡平取町,,,0,,,
44,I-0044,北斗国際交流事業協同組合,北海道,北海道宗谷郡猿払村鬼志別南町14,163522350,general,2017-12-01,2029-11-30,中国、インドネシア、ベトナム,"[""4-3"", ""4-4""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,宗谷郡猿払村,,,0,,,
45,I-0045,北海道アパレル産業協同組合,北海道,北海道函館市時任町32-13,138312366,general,2019-02-01,2031-01-31,ベトナム,"[""5-6"", ""5-7""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,函館市,,,0,,,
46,I-0046,北海道技術支援協同組合,北海道,北海道空知郡南幌町栄町4-4-34,113782800,general,2017-12-01,2029-11-30,中国、インドネシア、ベトナム,"[""1-1"", ""1-2"", ""3-1"", ""3-2"", ""3-3"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-9"", ""3-10"", ""3-11"", ""3-12"", ""3-13"", ""3-14"", ""3-15"", ""3-16"", ""3-17"", ""3-18"", ""3-19"", ""3-20"", ""3-21"", ""3-22"", ""4-3"", ""4-4"", ""4-5"", ""4-7"", ""4-8"", ""5-3"", ""5-4"", ""5-6"", ""5-7"", ""5-9"", ""5-11"", ""5-12"", ""6-1"", ""6-2"", ""6-3"", ""6-4"", ""6-5"", ""6-6"", ""6-7"", ""6-8"", ""6-9"", ""6-10"", ""6-11"", ""6-13"", ""6-14"", ""6-15"", ""7-1"", ""7-2"", ""7-3"", ""7-4"", ""7-5"", ""7-6"", ""7-8"", ""7-9"", ""7-11""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,空知郡南幌町,,,0,,,
47,I-0047,北海道近代酪農協同組合(事業休止中),北海道,北海道野付郡別海町別海常盤町25-1,153796667,general,2018-08-31,2030-08-30,フィリピン,"[""1-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,野付郡別海町,,,0,,,
48,I-0048,北海道人財育成事業協同組合,北海道,北海道札幌市中央区南九条西12-1-50 HIRATABLD301・302,116763157,general,2026-07-23,2031-07-22,インドネシア、カンボジア、ラオス、ミャンマー、ベトナム,"[""1-1"", ""4-3"", ""4-4"", ""4-6"", ""4-9"", ""6-11"", ""6-12"", ""6-14""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
49,I-0049,北海道中小企業協同組合,北海道,北海道上川郡和寒町字東町6-1,165326661,general,2020-12-18,2032-12-17,中国、インドネシア、ベトナム,"[""1-1"", ""1-2"", ""1-3"", ""3-6"", ""3-7"", ""3-8"", ""3-13"", ""3-21"", ""4-1"", ""4-2"", ""4-3"", ""4-4"", ""4-6"", ""4-7"", ""4-8"", ""4-9"", ""6-5"", ""6-10"", ""7-3"", ""7-4"", ""7-6"", ""7-7"", ""7-11"", ""7-13"", ""7-16"", ""7-21""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,上川郡和寒町,,,0,,,
50,I-0050,北海道TSK協同組合,北海道,北海道釧路市星が浦北3-4-7,154641720,general,2026-07-23,2031-07-22,インドネシア、モンゴル、ベトナム,"[""1-1"", ""1-2"", ""3-6"", ""3-7"", ""3-8"", ""3-13"", ""4-4"", ""7-7"", ""7-11"", ""7-12"", ""7-16""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,釧路市,,,0,,,
51,I-0051,北海道ハイウェイサービス協同組合,北海道,北海道札幌市豊平区豊平4条12-1-27,118319555,general,2017-12-20,2029-12-19,中国、インドネシア、モンゴル,"[""1-1"", ""1-2""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市豊平区,,,0,,,
52,I-0052,明亜協同組合,北海道,北海道紋別市幸町6-1-10,158285466,general,2018-09-28,2030-09-27,インドネシア、ネパール、タイ、ベトナム,"[""1-1"", ""2-2"", ""3-1"", ""3-2"", ""3-3"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-9"", ""3-10"", ""3-11"", ""3-12"", ""3-13"", ""3-14"", ""3-15"", ""3-16"", ""3-17"", ""3-18"", ""3-19"", ""3-20"", ""3-21"", ""3-22"", ""4-3"", ""4-4"", ""4-5"", ""4-6"", ""4-9"", ""6-3"", ""6-4"", ""6-7"", ""6-10"", ""6-13"", ""7-2"", ""7-3"", ""7-4"", ""7-5"", ""7-7"", ""7-8"", ""7-9"", ""7-14"", ""7-18""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,紋別市,,,0,,,
53,I-0053,紋別国際交流協同組合,北海道,北海道紋別市港町5-3-4,158262744,general,2018-03-27,2030-03-26,中国、インドネシア、ベトナム,"[""4-3"", ""4-4""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,紋別市,,,0,,,
54,I-0054,ワークテック協同組合,北海道,北海道広尾郡大樹町字下大樹189-24,155887206,general,2018-12-25,2030-12-24,インドネシア、フィリピン、ベトナム,"[""1-1"", ""1-2"", ""3-1"", ""3-2"", ""3-3"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-9"", ""3-10"", ""3-11"", ""3-12"", ""3-13"", ""3-14"", ""3-15"", ""3-16"", ""3-17"", ""3-18"", ""3-19"", ""3-20"", ""3-21"", ""3-22"", ""4-3"", ""4-4"", ""6-12"", ""7-7"", ""7-11"", ""7-12"", ""7-14"", ""7-21""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,広尾郡大樹町,,,0,,,
55,I-0055,ワールドリード事業協同組合,北海道,北海道札幌市中央区北五条西13-1 116,115966600,general,2023-07-25,2028-07-24,中国、インドネシア、ミャンマー、ベトナム,"[""1-1"", ""1-2"", ""2-2"", ""3-1"", ""3-2"", ""3-8"", ""3-21"", ""4-3"", ""4-4"", ""4-8"", ""4-9"", ""6-4"", ""6-10"", ""6-13"", ""7-4"", ""7-6"", ""7-7"", ""7-12"", ""7-16""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
56,I-0056,あおば国際協同組合,青森県,青森県八戸市根城5-14-24,178326672,general,2018-01-22,2030-01-21,中国、インドネシア、ベトナム,"[""1-1"", ""1-2"", ""1-3"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-12"", ""3-17"", ""3-21"", ""4-3"", ""4-4"", ""4-9"", ""7-5"", ""7-11"", ""7-13""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,八戸市,,,0,,,
57,I-0057,青森県中小企業経友会事業協同組合,青森県,青森県八戸市根城8-6-11,178242700,general,2018-01-31,2030-01-30,中国、インドネシア、フィリピン、ベトナム,"[""1-1"", ""1-2"", ""3-5"", ""3-6"", ""3-8"", ""3-9"", ""3-12"", ""3-13"", ""3-15"", ""4-2"", ""4-3"", ""4-4"", ""4-5"", ""4-6"", ""5-6"", ""5-7"", ""6-1"", ""6-4"", ""6-10"", ""6-13"", ""7-6"", ""7-7"", ""7-12"", ""7-15""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,八戸市,,,0,,,
