id,inputUrl,companyName,industry,result,matchScore,userId,createdAt
150001,https://www.joshin-dentetsu.co.jp/,上信電鉄株式会社,鉄道業,"{""companyName"": ""上信電鉄株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": null, ""headcount"": ""不明"", ""industry"": ""鉄道業"", ""reason"": ""a) 特定技能12分野に直接該当する業務が見当たらないため4点。b) 鉄道業は人手不足が指摘されるものの、ページからは現場職の比重が不明なため8点。c) 会社概要は確認できるが、特定技能の受入れに直結する事業内容は不明瞭なため3点。"", ""score"": 15}",15,1,2026-07-16 02:22:14
180001,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""外食業"", ""headcount"": ""1ー5名"", ""industry"": ""飲食業"", ""reason"": ""a)外食業に直接該当し、調理・接客業務が明確。b)料亭は人手不足が深刻で現場職の比重が高い。c)ミシュラン評価やメニュー、店舗情報が詳細で、事業内容が具体的に確認できたため高評価。"", ""score"": 85}",85,1,2026-07-16 02:25:07
210001,https://www.fanuc.co.jp/,ファナック株式会社,製造業（FA機器、ロボット、ロボマシン）,"{""companyName"": ""ファナック株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""素形材・産業機械・電気電子情報関連製造業"", ""headcount"": ""10名以上"", ""industry"": ""製造業（FA機器、ロボット、ロボマシン）"", ""reason"": ""a)事業内容は産業機械製造に直接該当し40点。b)製造業は人手不足が深刻で、現場作業も多いため30点。c)企業情報が詳細に記載されており、事業内容が明確なため25点。"", ""score"": 85}",85,1,2026-07-16 02:30:54
210002,https://www.fanuc.co.jp/,ファナック株式会社,産業用ロボット・FA機器製造,"{""companyName"": ""ファナック株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""素形材・産業機械・電気電子情報関連製造業"", ""headcount"": ""10名以上"", ""industry"": ""産業用ロボット・FA機器製造"", ""reason"": ""a)35点: FA機器、ロボット、ロボマシンの製造は「素形材・産業機械・電気電子情報関連製造業」に直接該当。b)30点: 製造業は全般的に人手不足が深刻で、特に現場での製造・組立作業は特定技能のニーズが高い。c)20点: ページ内容から事業内容が明確に確認できた。"", ""score"": 85}",85,,2026-07-16 02:31:12
240001,https://www.fanuc.co.jp/,ファナック株式会社,製造業,"{""companyName"": ""ファナック株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""工業製品製造業"", ""headcount"": ""10名以上"", ""industry"": ""製造業"", ""reason"": ""a)40点：FA、ロボット、ロボマシン製造は工業製品製造業に直接該当。b)25点：製造業全体で人手不足が深刻であり、現場での製造業務も多い。c)20点：企業規模や事業内容が明確に確認でき、特定技能の活用余地が高いと判断。"", ""score"": 85}",85,1,2026-07-16 02:43:48
240002,https://www.joshin-dentetsu.co.jp/,上信電鉄株式会社,鉄道業,"{""companyName"": ""上信電鉄株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""鉄道"", ""headcount"": ""10名以上"", ""industry"": ""鉄道業"", ""reason"": ""a)40点:鉄道事業が明確で特定技能「鉄道」分野に完全に合致。b)25点:鉄道業界は人手不足が深刻であり、現場作業が多い。c)25点:会社概要や事業内容が詳細に記載されており、情報の確からしさが高い。"", ""score"": 90}",90,,2026-07-16 02:44:52
270001,https://dlhd-web.com/index.html,株式会社ディアローグホールディングス,持株会社（美容、保育、建築設計）,"{""companyName"": ""株式会社ディアローグホールディングス"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": null, ""headcount"": ""不明"", ""industry"": ""持株会社（美容、保育、建築設計）"", ""reason"": ""a)分野該当性は、ホールディングス企業であり、直接的な特定技能分野への該当は確認できないため低評価(5点)。傘下企業に美容、保育、建築設計があるが、これらは特定技能の直接的な対象外。b)人手不足度は、傘下事業の人手不足は推測されるものの、ホールディングスとしての直接的な現場職の比重は低いため中評価(15点)。c)情報の確からしさは、ホールディングスとしての事業内容は把握できるが、具体的な現場業務や規模が不明なため中評価(15点)。"", ""score"": 35}",35,1,2026-07-16 03:34:52
270002,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""外食業"", ""headcount"": ""1ー5名"", ""industry"": ""飲食業"", ""reason"": ""a)外食業に直接該当し、調理・接客業務が明確。40点。b)料亭は人手不足が深刻で現場職の比重も高い。30点。c)事業内容や規模が明確に確認できた。25点。合計85点。"", ""score"": 85}",85,,2026-07-16 03:35:14
270003,https://www.fanuc.co.jp/,ファナック株式会社,製造業,"{""companyName"": ""ファナック株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""工業製品製造業"", ""headcount"": ""10名以上"", ""industry"": ""製造業"", ""reason"": ""a) 工業用ロボットやFA機器の製造を手掛けており、「工業製品製造業」に直接該当するため40点。b) 製造業全般で人手不足が深刻であり、現場作業の比重も高いため30点。c) 企業情報や事業内容が詳細に記載されており、確からしいため15点。"", ""score"": 85}",85,1,2026-07-16 03:35:36
270004,https://www.shimogamosaryo.co.jp/,下鴨茶寮,飲食業,"{""companyName"": ""下鴨茶寮"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""外食業"", ""headcount"": ""1ー5名"", ""industry"": ""飲食業"", ""reason"": ""a)外食業に直接該当し40点。b)料亭は人手不足が深刻で現場職の比重も高く30点。c)事業内容や規模が具体的に確認できたため25点。合計85点。"", ""score"": 85}",85,1,2026-07-16 03:35:47
300001,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度28点、c)情報の確からしさ25点、合計93点。a. 事業内容が懐石料理を提供する料亭であり、外食業に直接該当するため40点。b. 飲食業界は人手不足が深刻で、現場での調理・接客業務が中心のため28点。c. ページから事業内容、店舗規模、ミシュラン評価などが具体的に確認できたため25点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 25, ""labor"": 28}, ""scoreField"": 40, ""scoreInfo"": 25, ""scoreLabor"": 28}",93,1,2026-07-16 04:49:41
300002,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度28点、c)情報の確からしさ25点、合計93点。a.料亭経営であり「外食業」に直接該当するため40点。b.飲食業界は人手不足が深刻で現場職の比重も高いため28点。c.ミシュランガイドの評価や店舗情報が具体的に記載されており、事業内容が明確に確認できたため25点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 25, ""labor"": 28}, ""scoreField"": 40, ""scoreInfo"": 25, ""scoreLabor"": 28}",93,1,2026-07-16 04:49:59
300003,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a. 事業内容が懐石料理を提供する料亭であり、外食業に直接該当するため40点。b. 飲食業界は慢性的な人手不足であり、料亭という性質上、現場でのサービス提供が重要であるため25点。c. ページ内容から事業内容、規模、店舗情報が具体的に確認できたため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:50:01
330001,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a.料亭経営であり、外食業に直接該当するため40点。b.飲食業界は人手不足が深刻であり、現場での調理・接客が中心のため25点。c.ミシュラン掲載情報や詳細なメニュー、店舗情報が明確に記載されており、事業内容が具体的に確認できたため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:51:27
330002,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a. 事業内容が懐石料理を提供する料亭であり、外食業に直接該当するため40点。b. 飲食業界は慢性的な人手不足であり、料亭という性質上、現場でのサービス提供が重要であるため25点。c. ページ内容から事業内容や店舗規模、ミシュラン評価などの詳細が具体的に確認できたため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:51:29
330003,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度28点、c)情報の確からしさ8点、合計76点。URLから高級日本料理店と推測され、特定技能「外食業」に直接該当するためa=40。飲食業界は人手不足が深刻で現場職の比重も高いためb=28。URLのみからの推測であり、詳細な事業内容や規模は不明なためc=8。"", ""score"": 76, ""scoreBreakdown"": {""field"": 40, ""info"": 8, ""labor"": 28}, ""scoreField"": 40, ""scoreInfo"": 8, ""scoreLabor"": 28}",76,1,2026-07-16 04:51:34
330004,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a. 事業内容が懐石料理を提供する料亭であり、外食業に直接該当するため40点。b. 飲食業界は慢性的な人手不足であり、料亭という特性上、現場でのサービス提供が重要であるため25点。c. ページから事業内容、店舗規模、ミシュラン評価などの詳細な情報が確認できたため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:51:38
330005,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a.料亭経営であり、外食業に直接該当するため40点。b.飲食業界は人手不足が深刻であり、現場での調理・接客業務が中心のため25点。c.店舗情報やメニュー、ミシュラン評価など事業内容が詳細に確認できたため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:51:40
330006,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a.料亭経営であり、外食業に直接該当するため40点。b.飲食業界は慢性的な人手不足であり、現場での調理・接客業務が中心と推測されるため25点。c.ミシュランガイドの評価や詳細な店舗情報、メニュー、採用情報まで確認でき、事業内容が明確なため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:51:42
360001,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a.料亭経営であり「外食業」に直接該当するため40点。b.飲食業界は人手不足が深刻で、料亭は現場作業の比重が高いため25点。c.ミシュラン評価や店舗情報が詳細に記載されており、事業内容が明確に確認できたため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:53:55
360002,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a. 事業内容が懐石料理を提供する料亭であり、「外食業」に直接該当するため40点。b. 飲食業は慢性的な人手不足であり、現場での調理・接客が中心のため25点。c. ページから店舗情報、提供サービス、ミシュラン評価まで詳細に確認できたため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:53:57
360003,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ30点、合計95点。a. 事業内容が懐石料理を提供する料亭であり、特定技能「外食業」に直接該当するため40点と評価。b. 飲食業界は慢性的な人手不足であり、料亭という性質上、現場でのサービス提供が中心となるため25点。c. ページ内容から事業内容、店舗規模、ミシュラン評価などの詳細が明確に確認できたため30点とした。"", ""score"": 95, ""scoreBreakdown"": {""field"": 40, ""info"": 30, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 30, ""scoreLabor"": 25}",95,1,2026-07-16 04:54:06
360004,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度28点、c)情報の確からしさ25点、合計93点。a. 事業内容が懐石料理を提供する料亭であり、外食業に直接該当するため40点。b. 飲食業界は人手不足が深刻であり、特に料亭は現場での調理・接客業務が中心のため28点。c. ページから事業内容、店舗規模、ミシュラン評価などの情報が具体的に確認できたため25点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 25, ""labor"": 28}, ""scoreField"": 40, ""scoreInfo"": 25, ""scoreLabor"": 28}",93,1,2026-07-16 04:54:09
360005,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a.料亭という業態が外食業に直接該当するため40点。b.飲食業界は人手不足が深刻であり、調理や接客は現場作業の比重が高いため25点。c.ミシュラン評価やメニュー、店舗情報が詳細に記載されており、事業内容が明確なため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:55:08
360006,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度28点、c)情報の確からしさ25点、合計93点。a.事業内容が料亭経営であり「外食業」に直接該当するため40点。b.飲食業界は慢性的な人手不足であり、料亭は現場での調理・接客が中心のため28点。c.ミシュラン評価や店舗情報が具体的に記載されており、事業内容が明確に確認できたため25点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 25, ""labor"": 28}, ""scoreField"": 40, ""scoreInfo"": 25, ""scoreLabor"": 28}",93,1,2026-07-16 04:55:10
360007,https://www.torisen.co.jp/,とりせん,スーパーマーケット,"{""companyName"": ""とりせん"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""飲食料品製造業"", ""headcount"": ""10名以上"", ""industry"": ""スーパーマーケット"", ""reason"": ""a)分野該当性30点、b)人手不足度25点、c)情報の確からしさ25点、合計80点。a) スーパーマーケット業態は「外食業」に該当しうるが、食料品の加工・製造も行うため「飲食料品製造業」も一部該当。b) 小売業、特にスーパーマーケットは人手不足が深刻で現場職の比重も高い。c) 会社概要や事業内容が具体的に確認でき、店舗展開も明確なため。"", ""score"": 80, ""scoreBreakdown"": {""field"": 30, ""info"": 25, ""labor"": 25}, ""scoreField"": 30, ""scoreInfo"": 25, ""scoreLabor"": 25}",80,,2026-07-16 04:55:46
360008,https://www.torisen.co.jp/,とりせん,スーパーマーケット,"{""companyName"": ""とりせん"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""飲食料品製造業"", ""headcount"": ""10名以上"", ""industry"": ""スーパーマーケット"", ""reason"": ""a)分野該当性25点、b)人手不足度25点、c)情報の確からしさ28点、合計78点。a) スーパーマーケットは飲食料品製造業（惣菜製造など）に一部該当する可能性があります。b) スーパー業界は人手不足が深刻で、現場作業の比重も高いです。c) ページから事業内容や規模が具体的に確認でき、情報も信頼できます。"", ""score"": 78, ""scoreBreakdown"": {""field"": 25, ""info"": 28, ""labor"": 25}, ""scoreField"": 25, ""scoreInfo"": 28, ""scoreLabor"": 25}",78,,2026-07-16 04:56:08
390001,https://www.fanuc.co.jp/,ファナック株式会社,機械製造業,"{""companyName"": ""ファナック株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""工業製品製造業"", ""headcount"": ""10名以上"", ""industry"": ""機械製造業"", ""reason"": ""a) 工業製品製造業に直接該当し、FA、ロボット、ロボマシンの製造を行うため40点。b) 製造業は人手不足が深刻であり、現場での作業も多いため30点。c) ページ内容から事業内容や規模が詳細に確認できたため15点。合計85点。"", ""score"": 85}",85,,2026-07-16 04:57:12
420001,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a.料亭経営であり、外食業に直接該当するため40点。b.飲食業界は人手不足が深刻であり、現場での調理・接客業務が中心のため25点。c.店舗情報や提供サービスが詳細に記載されており、事業内容が明確に確認できたため28点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 04:58:43
420002,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度28点、c)情報の確からしさ25点、合計93点。a. 事業内容が懐石料理を提供する料亭であり、「外食業」に直接該当するため40点。b. 飲食業、特に料亭は人手不足が深刻であり、現場での調理・接客業務が中心であるため28点。c. ページから店舗情報、提供サービス、ミシュラン評価まで具体的に確認できるため25点。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 25, ""labor"": 28}, ""scoreField"": 40, ""scoreInfo"": 25, ""scoreLabor"": 28}",93,1,2026-07-16 04:58:45
450001,https://kikunoi.jp/restaurant/,菊乃井,料亭業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""1ー5名"", ""industry"": ""料亭業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a)料亭は外食業に直接該当し、調理や接客業務は特定技能の対象です。b)外食産業は慢性的な人手不足であり、料亭も例外ではありません。c)ウェブサイトから事業内容や店舗規模が明確に確認できます。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 05:00:45
450002,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""1ー5名"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度28点、c)情報の確からしさ25点、合計93点。a)料亭経営は外食業に直接該当し、特定技能の対象業務と完全に一致します。b)飲食業界は慢性的な人手不足であり、料亭も例外ではありません。c)ウェブサイトから事業内容、店舗規模、提供サービスが具体的に確認でき、情報の確からしさは高いです。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 25, ""labor"": 28}, ""scoreField"": 40, ""scoreInfo"": 25, ""scoreLabor"": 28}",93,1,2026-07-16 05:00:46
480001,https://kikunoi.jp/restaurant/,菊乃井,飲食業,"{""companyName"": ""菊乃井"", ""cost"": ""初期10〜30万円＋月額2〜4万円/人"", ""field"": ""外食業"", ""headcount"": ""1ー5名"", ""industry"": ""飲食業"", ""reason"": ""a)分野該当性40点、b)人手不足度25点、c)情報の確からしさ28点、合計93点。a.料亭経営であり、外食業分野に直接該当します。b.飲食業界は人手不足が深刻であり、現場での調理・接客業務が中心です。c.ミシュラン評価やメニュー、店舗情報が具体的に記載されており、事業内容が明確です。"", ""score"": 93, ""scoreBreakdown"": {""field"": 40, ""info"": 28, ""labor"": 25}, ""scoreField"": 40, ""scoreInfo"": 28, ""scoreLabor"": 25}",93,1,2026-07-16 05:07:40
